Niya		Niya	"A desire for something, Purpose, Bright, Lord Hanuman (Son of Anjani), The aim or desire of something"
"A desire for something, Purpose, Bright, Lord Hanuman (Son of Anjani), The aim or desire of something"			
Miraya		Miraya	"Devotee of Lord Krishna (Celebrity Name: Priyanka Gandhi), Name of Lord Krishna's devotee, A variant spelling is Meera"
"Devotee of Lord Krishna (Celebrity Name: Priyanka Gandhi), Name of Lord Krishna's devotee, A variant spelling is Meera"			
Anika		Anika	"Goddess Durga, The brilliance of stone, Graceful young girl"
"Goddess Durga, The brilliance of stone, Graceful young girl"			
Arika		Arika	"Beautiful, Goddess of Wealth and Prosperity, One of many names of Goddess Lakshmi"
"Beautiful, Goddess of Wealth and Prosperity, One of many names of Goddess Lakshmi"			
Advika		Advika	"World, Earth, Unique, A unique girl, no copy or duality"
"World, Earth, Unique, A unique girl, no copy or duality"			
Siya		Siya	"Goddess Sita, White moonlight, A handsome woman, White doorvaa grass, Arabian Jasmine, Candied sugar, A woman sho always wins"
"Goddess Sita, White moonlight, A handsome woman, White doorvaa grass, Arabian Jasmine, Candied sugar, A woman sho always wins"			
Aadhya		Aadhya	"First power, Goddess Durga, First, Unequalled, Perfect, The earth, Another ornament, aadhya means the The first power, the Beginning, it is also an another name of Goddess Durga"
"First power, Goddess Durga, First, Unequalled, Perfect, The earth, Another ornament, aadhya means the The first power, the Beginning, it is also an another name of Goddess Durga"			
Avyuktha		Avyuktha	"Inexpressible, Crystal clear, One who has crystal clear heart"
"Inexpressible, Crystal clear, One who has crystal clear heart"			
Saisha		Saisha	"With great desire and wish, Truth of life"
"With great desire and wish, Truth of life"			
Akira		Akira	"Graceful strength (Celebrity Name: Farhan Akhtar), Bright, Clear and intelligent being"
"Graceful strength (Celebrity Name: Farhan Akhtar), Bright, Clear and intelligent being"			
Misha		Misha	"Happy for entire life, The message bearer from the God"
"Happy for entire life, The message bearer from the God"			
Riya		Riya	"Rich or from hadria, Gem, Goddess Lakshmi, Graceful, Singer, A female singer of great grace"
"Rich or from hadria, Gem, Goddess Lakshmi, Graceful, Singer, A female singer of great grace"			
Ishanvi		Ishanvi	"Goddess Parvati, Goddess of knowledge"
"Goddess Parvati, Goddess of knowledge"			
Ruhi		Ruhi	"A music tune, Soul, A flower, Who touches the heart, One with a beutiful soul"
"A music tune, Soul, A flower, Who touches the heart, One with a beutiful soul"			
Srinika		Srinika	Goddess Lakshmi or lotus which is in the heart of Lord Vishnu
Goddess Lakshmi or lotus which is in the heart of Lord Vishnu			
Amayra		Amayra	Princess
Princess			
Kaira		Kaira	"Peaceful, Unique, Lady, Kaira means Peaceful and Unique"
"Peaceful, Unique, Lady, Kaira means Peaceful and Unique"			
Takshvi		Takshvi	Hritvi
Hritvi			
"Right guidance, Happy, Scholar, Lady Indian priest who full fill particularly completing the vedic haven"		"Right guidance, Happy, Scholar, Lady Indian priest who full fill particularly completing the vedic haven"	Tanvi
Tanvi			
"Slender, Beautiful, Delicate, A beautiful and delicate woman"		"Slender, Beautiful, Delicate, A beautiful and delicate woman"	Ditya
Ditya			
"Answer of prayers, Another name for Lakshmi, A name of Goddess Durga. It means answer of prayers."		"Answer of prayers, Another name for Lakshmi, A name of Goddess Durga. It means answer of prayers."	Rithanya
Rithanya			
"One who is endowed with immense capabilities, Name of Goddess Saraswati"		"One who is endowed with immense capabilities, Name of Goddess Saraswati"	Riyanshika
Riyanshika			
Amaya		Amaya	"Night rain, Immeasurable, Without limit, The beautiful night rain"
"Night rain, Immeasurable, Without limit, The beautiful night rain"			
Avika		Avika	"Sunrays, Charismatic personality, Bright as a Sun, charismatic personality, Diamond"
"Sunrays, Charismatic personality, Bright as a Sun, charismatic personality, Diamond"			
Dhruvi		Dhruvi	"Firm, One who has a lot of energy, is firmly fixed"
"Firm, One who has a lot of energy, is firmly fixed"			
Naira		Naira	"Shining, Glittering, The one having the bigger eyes"
"Shining, Glittering, The one having the bigger eyes"			
Sanvi		Sanvi	"Goddess Parvati, Glowing, Attractive, Loveable, Goddess Lakshmi"
"Goddess Parvati, Glowing, Attractive, Loveable, Goddess Lakshmi"			
Driti		Driti	"Courage, Morale, Steadiness, Command, Pleasure, Determination, Patience, Virtue"
"Courage, Morale, Steadiness, Command, Pleasure, Determination, Patience, Virtue"			
Saanvika		Saanvika	"Goddess Lakshmi, One who will be followed"
"Goddess Lakshmi, One who will be followed"			
Pranavi		Pranavi	"Goddess Parvati, The first sound of universe aum called as Pranavi, One of the many names of Goddess Parvathi"
"Goddess Parvati, The first sound of universe aum called as Pranavi, One of the many names of Goddess Parvathi"			
Anshi		Anshi	"Gods gift, They are gift of God and are fantastic human being"
"Gods gift, They are gift of God and are fantastic human being"			
Aadhira		Aadhira	"Lightning, Strong, The Moon, Moon, To sentimentalize and remember nostalgically"
"Lightning, Strong, The Moon, Moon, To sentimentalize and remember nostalgically"			
Tishya		Tishya	"Auspicious, A star, Lucky, The sense of joy and happiness"
"Auspicious, A star, Lucky, The sense of joy and happiness"			
Manasvi		Manasvi	"Intelligent, Wise, Sensible, Self-respecting, Self-controlled, An intelligent person"
"Intelligent, Wise, Sensible, Self-respecting, Self-controlled, An intelligent person"			
Niva		Niva	"One of the 1000 names of river Narmada, The Sun, To talk or the expressions of talking"
"One of the 1000 names of river Narmada, The Sun, To talk or the expressions of talking"			
Gargi		Gargi	"The person who inspires to think, An ancient scholar, Name of a learned woman, goddess durga"
"The person who inspires to think, An ancient scholar, Name of a learned woman, goddess durga"			
Anaisha		Anaisha	Special
Special			
Aavya		Aavya	"First rays of The Sun, Gift of God"
"First rays of The Sun, Gift of God"			
Aira		Aira	"The beginning, The principle, The breathe of life"
"The beginning, The principle, The breathe of life"			
Shreyanvi		Shreyanvi	"Goddess Lakshmi, Goddess Durga"
"Goddess Lakshmi, Goddess Durga"			
Aarohi		Aarohi	"A music tune, Progressive, Evolving, the musical note or being very sound"
"A music tune, Progressive, Evolving, the musical note or being very sound"			
Eva		Eva	"Life, Living one, Variant of eve, In the bible eve was adams wife and the first woman, Alive, Auspicious news, life or living one."
"Life, Living one, Variant of eve, In the bible eve was adams wife and the first woman, Alive, Auspicious news, life or living one."			
Nainika		Nainika	"Pupil of the eye, The one who has attractive and shining eyes."
"Pupil of the eye, The one who has attractive and shining eyes."			
Nysa		Nysa	"New beginning, Special (Celebrity Name: Kajol), the followers of the Islamic Prophet Mohammad."
"New beginning, Special (Celebrity Name: Kajol), the followers of the Islamic Prophet Mohammad."			
Tanishka		Tanishka	"Goddess of gold, Daughter, Goddess of gold"
"Goddess of gold, Daughter, Goddess of gold"			
